model,window_size,accuracy,kappa,time_ms,throughput,n_eval
xgb_w500,500,0.498838,0.231224,266129.8,2176,579012
xgb_w1000,1000,0.475266,0.173502,270195.5,2143,579012
xgb_w5000,5000,0.593071,0.323173,277064.4,2079,576012
lgbm_w500,500,0.459626,0.186763,403847.8,1434,579012
lgbm_w1000,1000,0.485594,0.190513,401228.5,1443,579012
lgbm_w5000,5000,0.597925,0.357703,403500.9,1428,576012
