model,window_size,accuracy,kappa,time_ms,throughput,n_eval
xgb_w500,500,0.621634,0.228728,272137.4,1980,538883
xgb_w1000,1000,0.629881,0.245728,261679.8,2057,538383
xgb_w5000,5000,0.631650,0.250060,250709.6,2131,534383
lgbm_w500,500,0.635151,0.253217,378133.2,1425,538883
lgbm_w1000,1000,0.645973,0.275085,376832.8,1429,538383
lgbm_w5000,5000,0.643898,0.273775,376669.1,1419,534383
