step,accuracy,kappa
50000,0.869220,0.783848
100000,0.891630,0.774942
150000,0.898180,0.762363
200000,0.900755,0.787778
250000,0.897324,0.797378
300000,0.886173,0.801241
350000,0.881120,0.794975
400000,0.874382,0.787391
450000,0.876098,0.793101
500000,0.879944,0.801029
550000,0.883129,0.806988
581012,0.885801,0.813335
