model,accuracy,kappa,time_ms,throughput,n_samples
hoeffding_tree,0.638274,0.242942,59273.4,9100,539383
hoeffding_adaptive_tree,0.634835,0.241335,175871.9,3067,539383
arf_n10,0.656478,0.289508,1204475.7,448,539383
arf_n25,0.667502,0.310156,3160014.0,171,539383
