model,accuracy,kappa,time_ms,throughput,n_samples
hoeffding_tree,0.795617,0.577942,3767.0,12029,45312
hoeffding_adaptive_tree,0.829295,0.647585,13498.0,3357,45312
arf_n10,0.885770,0.765201,84863.8,534,45312
arf_n25,0.891287,0.776710,226095.6,200,45312
