step,accuracy,kappa
50000,0.695080,0.246562
100000,0.685640,0.224834
150000,0.696460,0.201535
200000,0.693255,0.216557
250000,0.685148,0.248200
300000,0.678393,0.275801
350000,0.674717,0.289559
400000,0.672318,0.302565
450000,0.669373,0.297889
500000,0.668316,0.304330
539383,0.667502,0.310156
